Loan_Identifier,Monthly_Reporting_Period,Channel,Seller_Name,Servicer_Name,Original_Interest_Rate,Current_Interest_Rate,Original_UPB,Current_Actual_UPB,Original_Loan_Term,Loan_Age,Remaining_Months_to_Legal_Maturity,Remaining_Months_to_Maturity,Original_Loan_to_Value_Ratio_LTV,Original_Combined_Loan_to_Value_Ratio_CLTV,Number_of_Borrowers,Debt_To_Income_DTI,Borrower_Credit_Score_at_Origination,Co_Borrower_Credit_Score_at_Origination,First_Time_Home_Buyer_Indicator,Loan_Purpose,Property_Type,Number_of_Units,Occupancy_Status,Property_State,Metropolitan_Statistical_Area_MSA,Zip_Code_Short,Mortgage_Insurance_Percentage,Amortization_Type,Prepayment_Penalty_Indicator,Interest_Only_Loan_Indicator,Current_Loan_Delinquency_Status,Loan_Payment_History,Modification_Flag,Zero_Balance_Code,UPB_at_the_Time_of_Removal,Total_Principal_Current,Foreclosure_Costs,Property_Preservation_and_Repair_Costs,Asset_Recovery_Costs,Miscellaneous_Holding_Expenses_and_Credits,Associated_Taxes_for_Holding_Property,Net_Sales_Proceeds,Credit_Enhancement_Proceeds,Repurchase_Make_Whole_Proceeds,Other_Foreclosure_Proceeds,Modification_Related_Non_Interest_Bearing_UPB,Principal_Forgiveness_Amount,Mortgage_Insurance_Type,Servicing_Activity_Indicator,Special_Eligibility_Program,Foreclosure_Principal_Write_off_Amount,Relocation_Mortgage_Indicator,Property_Valuation_Method,High_Balance_Loan_Indicator,Borrower_Assistance_Plan,High_Loan_to_Value_HLTV_Refinance_Option_Indicator,Repurchase_Make_Whole_Proceeds_Flag,Alternative_Delinquency_Resolution,Alternative_Delinquency_Resolution_Count,Total_Deferral_Amount,Payment_Deferral_Modification_Event_Indicator,From_File,From_File_Numeric
173991272857,2001-07-01 00:00:00,B,"Bank Of America, N.A.",,7.875,7.875,92000.0,90785.59,360.0,18.0,342.0,342.0,80.0,,1.0,,671.0,,False,R,SF,1.0,P,TX,17780,778.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
174048093856,2004-07-01 00:00:00,B,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, Na",8.25,8.25,66000.0,63698.37,360.0,53.0,307.0,307.0,95.0,,2.0,20.0,706.0,764.0,False,P,MH,1.0,P,AZ,38060,852.0,25.0,FRM,False,,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
174150077338,2001-03-01 00:00:00,R,Bishops Gate Residential Mortgage Trust,,7.875,7.875,138000.0,136343.4,360.0,13.0,347.0,346.0,95.0,,2.0,37.0,730.0,684.0,True,P,SF,1.0,P,CA,0,954.0,30.0,FRM,False,,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
174293049643,2000-10-01 00:00:00,R,"Wells Fargo Bank, N.A.",,8.125,8.125,60000.0,58581.26,180.0,8.0,172.0,172.0,58.0,,1.0,44.0,665.0,,False,C,SF,3.0,P,GA,42340,314.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
174391829074,2011-04-01 00:00:00,B,"Bank Of America, N.A.","Bank Of America, N.A.",8.75,8.75,35000.0,14082.97,180.0,135.0,45.0,,70.0,,1.0,43.0,645.0,,False,C,SF,1.0,P,FL,33100,334.0,,FRM,False,False,00,,True,,,,,,,,,,,,,0.0,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
174487930803,2001-06-01 00:00:00,B,"Bank Of America, N.A.",,8.25,8.25,77000.0,75005.04,240.0,15.0,225.0,225.0,62.0,,2.0,13.0,747.0,703.0,False,R,SF,1.0,P,KY,31140,402.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
174557540211,2001-04-01 00:00:00,R,"Jp Morgan Chase Bank, Na",,7.95,7.95,216000.0,213698.7,360.0,15.0,345.0,345.0,94.0,,2.0,38.0,630.0,646.0,False,C,SF,1.0,P,MI,19820,481.0,35.0,FRM,False,,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
174684827952,2002-05-01 00:00:00,R,First Tennessee Bank National Association,"First Tennessee Bank, National Association",8.5,8.5,129000.0,126773.0,360.0,28.0,332.0,332.0,94.0,,2.0,43.0,,676.0,False,R,SF,1.0,P,OR,38900,971.0,30.0,FRM,False,,00,,False,,,,,,,,,,,,,,,2.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
174760187705,2009-12-01 00:00:00,C,Netbank Funding Services,"Citimortgage, Inc.",8.25,8.25,50000.0,44142.65,360.0,118.0,242.0,241.0,67.0,,1.0,37.0,746.0,,False,C,SF,1.0,P,OH,15940,446.0,,FRM,False,False,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
174891591392,2000-12-01 00:00:00,R,"Jpmorgan Chase Bank, National Association",,7.75,7.75,199000.0,198149.89,360.0,9.0,351.0,351.0,80.0,,2.0,37.0,702.0,,False,P,SF,1.0,P,CA,41740,921.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
174954617079,2003-04-01 00:00:00,C,"Jpmorgan Chase Bank, Na",,7.5,,110000.0,0.0,360.0,,,,80.0,,2.0,30.0,747.0,809.0,False,P,SF,1.0,P,LA,35380,700.0,,FRM,False,,XX,,,1.0,106573.6,,,,,,,,,,,,,,,7,,False,,False,,False,False,,,,7,2000Q1,2000.0
175018419044,2000-09-01 00:00:00,R,Regions Bank,,8.0,8.0,35000.0,34277.66,180.0,7.0,173.0,173.0,26.0,,1.0,18.0,729.0,,False,R,SF,1.0,P,LA,35380,704.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
175146659937,2002-06-01 00:00:00,R,Other,Other,6.75,6.75,55000.0,49845.14,180.0,27.0,153.0,153.0,60.0,,2.0,19.0,644.0,707.0,False,C,SF,1.0,P,PR,0,7.0,,FRM,False,False,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
175239585250,2009-05-01 00:00:00,R,First Tennessee Bank National Association,"First Tennessee Bank, National Association",8.75,8.75,54000.0,44707.43,240.0,113.0,127.0,,79.0,,2.0,32.0,616.0,589.0,False,C,SF,1.0,P,FL,15980,339.0,,FRM,False,False,00,,True,,,,,,,,,,,,,0.0,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
175313453065,2004-04-01 00:00:00,R,"Flagstar Bank, Fsb","Jpmorgan Chase Bank, National Association",8.375,8.375,43000.0,35833.66,180.0,51.0,129.0,129.0,80.0,,1.0,31.0,697.0,,False,C,MH,1.0,P,FL,27260,320.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
175415282386,2002-07-01 00:00:00,R,Bishops Gate Residential Mortgage Trust,Phh Mortgage Corporation,8.875,8.875,46000.0,44807.76,360.0,28.0,332.0,332.0,95.0,,1.0,32.0,627.0,,False,P,SF,1.0,P,SC,34820,295.0,30.0,FRM,False,,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
175509040166,2002-03-01 00:00:00,R,"Jpmorgan Chase Bank, National Association","Jpmorgan Chase Bank, National Association",8.25,8.25,91000.0,89619.47,360.0,25.0,335.0,335.0,95.0,,1.0,50.0,671.0,,False,P,SF,1.0,P,FL,33100,330.0,30.0,FRM,False,,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
175616545291,2001-07-01 00:00:00,C,"Wells Fargo Bank, N.A.",,7.375,7.375,70000.0,64344.67,180.0,19.0,161.0,155.0,90.0,,1.0,28.0,669.0,,False,R,SF,1.0,P,VA,0,241.0,25.0,FRM,False,,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
