fund_date,start_date,finish_date,price,total_additional_payments,expenses,total_after_fees,total_hours,status,project_type,master_ownership,song_ownership,time_tracked,soundbetter,spec_project,experienced_client,difficult_client,backend_belief,backend_money_made,sync_license,fully_produced,songwriter,project_hourly,days_to_finish,days_to_start,client_id,project_id
2023-03-29,2023-04-11,2023-05-19,0.7333333333333333,,,0.6608080000000001,16.26,Done,full production,0.0,,True,True,False,False,False,False,False,False,True,False,0.04064,38.0,13.0,37,132
2021-02-25,2021-03-05,2021-04-19,0.18666666666666668,,0.05333333333333334,0.11860533333333333,9.65,Done,track production,,,True,True,False,False,False,False,False,False,True,False,0.012290666666666667,45.0,8.0,38,92
2020-07-24,2020-12-15,2021-01-30,0.22666666666666666,0.16,,0.35616,12.44,Done,track production,,,True,True,False,False,False,False,False,False,True,False,0.028629333333333333,46.0,144.0,38,91
,,2017-07-07,,,,,,Done,full production,,,False,True,False,True,False,True,False,False,True,True,,,,39,163
2022-06-22,2022-06-23,2022-07-29,0.5333333333333333,0.13333333333333333,,0.6140666666666666,24.42,Done,additional production,,,True,True,False,True,False,False,False,False,True,False,0.025146666666666664,36.0,1.0,40,122
2021-08-26,2021-08-27,2021-08-29,0.18666666666666668,,,0.17193866666666666,6.9,Done,additional production,,,True,True,False,True,False,False,False,False,True,False,0.024917333333333333,2.0,1.0,40,121
2021-12-05,2021-12-06,2021-12-15,0.16559200000000002,,,0.16559200000000002,4.7,Done,additional production,,,True,False,False,False,True,False,False,False,True,False,0.035232,9.0,1.0,41,3
2021-11-29,2021-11-30,,0.4266666666666667,,,0.4266666666666667,41.75,Active,full production,,,True,False,False,False,True,False,False,False,,False,0.010218666666666668,,1.0,41,1
2020-06-08,2020-10-15,2021-10-27,0.22666666666666666,0.25333333333333335,,0.442128,27.62,Done,full production,,,True,True,False,False,False,False,False,False,True,False,0.016008,377.0,129.0,41,2
,,2019-01-17,,,,,,Done,full production,,0.33,False,False,True,True,False,True,False,False,True,True,,,,42,166
,,2019-03-28,,,,,,Done,full production,,,False,False,True,True,False,True,False,False,True,True,,,,42,165
,,2021-01-20,,,,,,Done,additional production,,,False,False,True,True,False,True,False,False,True,True,,,,42,164
2023-08-10,2023-09-04,2023-10-30,0.5357333333333333,,,0.4827493333333333,11.6,Done,track production,,,True,True,False,False,False,False,False,False,True,True,0.041616,56.0,25.0,43,64
2020-10-27,2020-10-29,2020-11-27,0.36784,0.09333333333333334,,0.4611733333333334,33.85,Done,full production,,,True,False,False,True,True,False,False,False,True,False,0.013624,29.0,2.0,44,111
2019-10-10,2020-02-13,2020-04-09,0.24,,,0.221064,12.92,Done,track production,,,True,True,False,False,False,False,False,False,True,False,0.017109333333333334,56.0,126.0,45,71
,2020-09-01,2020-09-09,,,,,19.53,Done,full production,,0.33,True,False,True,True,False,True,False,False,True,True,,8.0,,46,144
