client_id,project_id,fund_date,start_date,finish_date,price,total_additional_payments,expenses,total_after_fees,total_hours,project_type,master_ownership,song_ownership,soundbetter,spec_project,experienced_client,difficult_client,backend_belief,backend_money_made,sync_license,fully_produced,songwriter,project_hourly,days_to_finish,days_to_start
48,53,2020-05-12,2020-07-14,2020-10-23,0.29333333333333333,,0.025066666666666668,0.24512266666666668,25.7,full production,,,True,False,False,False,True,False,False,True,False,0.009538666666666668,101.0,63.0
49,5,2023-05-11,2023-05-22,2023-06-27,0.7333333333333333,,,0.6608080000000001,28.2,full production,0.03,,True,False,False,False,False,False,False,True,True,0.023432,36.0,11.0
49,3,2025-06-12,2024-06-27,2024-07-30,0.64,,,0.64,22.51,full production,0.03,0.0,False,False,True,False,True,False,False,True,False,0.028432000000000002,33.0,-350.0
49,4,2023-06-30,2023-07-11,2023-11-07,0.7333333333333333,,,0.7333333333333333,30.69,full production,,,False,False,False,False,False,False,False,True,True,0.023896,119.0,11.0
50,58,2021-09-06,2021-09-07,2022-08-24,0.37333333333333335,,,0.37333333333333335,30.69,full production,,,False,False,False,False,False,False,False,True,False,0.012165333333333332,351.0,1.0
50,57,2021-02-13,2021-05-14,2021-08-29,0.24,0.08,,0.32,15.67,full production,,,False,False,False,False,True,False,False,True,False,0.020421333333333333,107.0,90.0
50,56,2020-05-29,2020-07-07,2020-10-15,0.32,,,0.29475199999999996,25.17,full production,,,True,False,False,False,False,False,False,True,False,0.011709333333333332,100.0,39.0
51,1,2024-07-08,2024-07-23,2024-08-06,0.13333333333333333,,,0.12014666666666667,3.85,mixing,0.0,0.0,True,False,False,False,False,False,False,,False,0.031208,14.0,15.0
51,2,2024-04-01,2024-04-02,2024-04-03,0.13333333333333333,,,0.12014666666666667,2.55,mixing,0.0,0.0,True,False,False,False,False,False,False,True,False,0.04711733333333333,1.0,1.0
52,47,2022-03-16,2022-03-31,2022-11-10,0.29333333333333333,,0.023637333333333333,0.269696,22.28,full production,,,False,False,True,False,False,False,False,True,False,0.012104,224.0,15.0
52,46,2020-04-08,2020-04-23,2021-03-01,0.21333333333333335,,,0.19650133333333333,21.46,full production,,,True,False,True,False,False,False,False,True,False,0.009157333333333335,312.0,15.0
53,89,2020-11-15,2020-11-20,2021-02-10,0.32,,0.16,0.134752,12.45,full production,,,True,False,False,False,False,False,False,True,False,0.010824,82.0,5.0
54,19,2023-12-12,2024-01-04,2024-04-15,0.7333333333333333,,,0.6608080000000001,26.74,full production,0.03,0.25,True,False,False,False,True,False,False,True,False,0.024712,102.0,23.0
55,126,,2020-02-24,2020-04-21,,,,,8.07,full production,,0.33,False,True,True,False,True,False,False,True,True,,57.0,
56,20,2023-07-16,2024-01-18,2024-03-27,0.7333333333333333,,,0.6608080000000001,12.22,full production,0.0,0.0,True,False,False,False,False,False,False,True,False,0.05407466666666667,69.0,186.0
57,32,2022-04-06,2022-04-13,2022-04-15,0.16,,0.007285333333333334,0.15271466666666667,2.98,mixing,,,False,False,False,False,False,False,False,True,False,0.05124533333333333,2.0,7.0
57,31,2021-10-20,2021-11-01,2021-11-02,0.15271466666666667,,,0.15271466666666667,2.53,mixing,,,False,False,False,False,False,False,False,True,False,0.06036266666666667,1.0,12.0
57,30,2023-10-16,2023-10-24,2023-10-27,0.18666666666666668,,,0.18666666666666668,2.27,mixing,,,False,False,False,False,False,False,False,True,False,0.082232,3.0,8.0
58,55,2020-05-28,2020-07-29,2020-10-06,0.30666666666666664,,,0.282472,17.41,full production,,,True,False,False,False,False,False,False,True,False,0.016224000000000002,69.0,62.0
59,84,2020-11-02,2021-04-12,2021-08-14,0.37333333333333335,,,0.3438773333333333,18.89,full production,,,True,False,False,False,False,False,False,True,False,0.018205333333333334,124.0,161.0
60,88,2020-11-12,2021-02-09,2021-02-26,0.25333333333333335,,,0.23334666666666665,15.87,track production,,,True,False,False,False,False,False,False,True,False,0.014704,17.0,89.0
61,102,2022-07-06,2022-07-07,2022-07-11,0.08,,,0.08,6.17,pre production,,,False,False,True,False,False,False,False,False,False,0.012965333333333332,4.0,1.0
61,94,2021-02-10,2021-03-23,2021-12-20,0.29629599999999995,0.005925333333333333,,0.3022213333333333,20.08,full production,,,False,False,True,False,True,False,False,True,False,0.015050666666666665,272.0,41.0
61,96,2021-02-10,2021-03-21,2021-12-20,0.29629599999999995,0.005925333333333333,,0.3022213333333333,16.54,full production,,,False,False,True,False,True,False,False,True,False,0.018272,274.0,39.0
61,97,2021-02-10,2021-03-20,2021-12-20,0.29629599999999995,0.005925333333333333,,0.3022213333333333,14.97,full production,,,False,False,True,False,True,False,False,True,False,0.02018933333333333,275.0,38.0
61,98,2021-02-10,2021-03-20,2021-12-20,0.29629599999999995,0.005928,,0.302224,17.48,full production,,,False,False,True,False,True,False,False,True,False,0.017290666666666666,275.0,38.0
61,99,2021-02-10,2021-03-20,2021-12-20,0.29629599999999995,0.005925333333333333,,0.3022213333333333,19.79,full production,,,False,False,True,False,True,False,False,True,False,0.015272,275.0,38.0
61,100,2021-02-10,2021-03-19,2021-12-20,0.29629599999999995,0.005925333333333333,,0.3022213333333333,17.44,full production,,,False,False,True,False,True,False,False,True,False,0.017328,276.0,37.0
61,101,2021-03-23,2021-03-24,2021-12-20,0.29629599999999995,0.005925333333333333,,0.3022213333333333,17.36,full production,,,False,False,True,False,True,False,False,True,False,0.017408,271.0,1.0
61,93,2021-02-10,2021-03-24,2021-12-20,0.29629599999999995,0.005925333333333333,,0.3022213333333333,16.85,full production,,,False,False,True,False,True,False,False,True,False,0.017936,271.0,42.0
61,95,2021-02-10,2021-03-22,2021-12-20,0.29629599999999995,0.005928,,0.302224,17.29,full production,,,False,False,True,False,True,False,False,True,False,0.01748,273.0,40.0
62,54,2020-05-22,2020-06-08,2020-06-09,0.13333333333333333,,,0.12281333333333333,4.89,additional production,,,True,False,False,False,False,False,False,True,False,0.025114666666666667,1.0,17.0
63,18,2024-01-31,2024-02-01,2024-04-23,0.6666666666666666,,,0.6007333333333333,19.69,full production,0.03,0.5,True,False,False,False,True,False,False,True,True,0.030509333333333333,82.0,1.0
63,17,2024-04-16,2024-04-22,2024-05-02,0.14666666666666667,,,0.14666666666666667,2.31,mixing,0.0,0.0,False,False,False,False,False,False,False,True,False,0.06349333333333333,10.0,6.0
64,105,2021-11-24,2021-12-23,2022-01-09,0.4,0.09333333333333334,,0.45441066666666663,13.96,full production,,,True,False,False,False,False,False,False,True,False,0.032552,17.0,29.0
65,22,,2023-02-16,2023-03-08,,,,,19.46,full production,,0.33,False,True,True,False,True,False,False,True,True,,20.0,
65,21,,2024-02-21,2024-03-06,,,,,12.6,full production,0.5,0.33,False,True,True,False,True,False,False,True,True,,14.0,
